my-workspace-perfectshuffle
solution_idx: 0 | avg: 1197.775183455637 | fitness: 0.0008348812146157125
solution_idx: 1 | avg: 1200.2368245496998 | fitness: 0.0008331689042911811
solution_idx: 2 | avg: 1205.8432288192128 | fitness: 0.0008292951986629483
solution_idx: 3 | avg: 1191.4336224149433 | fitness: 0.0008393249789048909
solution_idx: 4 | avg: 1200.114743162108 | fitness: 0.0008332536582003501
solution_idx: 5 | avg: 1195.4736490993996 | fitness: 0.0008364885338571384
solution_idx: 6 | avg: 1206.7578385590393 | fitness: 0.0008286666703520866
solution_idx: 7 | avg: 1205.6844563042027 | fitness: 0.0008294044057475125
solution_idx: 1 | avg: 1193.5797198132088 | fitness: 0.000837815843718002
solution_idx: 2 | avg: 1201.7004669779853 | fitness: 0.0008321541244922555
solution_idx: 3 | avg: 1206.2388258839226 | fitness: 0.000829023223711281
solution_idx: 4 | avg: 1192.0753835890594 | fitness: 0.0008388731230983351
solution_idx: 5 | avg: 1191.4336224149433 | fitness: 0.0008393249789048909
solution_idx: 6 | avg: 1197.775183455637 | fitness: 0.0008348812146157125
solution_idx: 7 | avg: 1196.2861907938625 | fitness: 0.000835920373983749
solution_idx: 2 | avg: 1189.3002001334223 | fitness: 0.0008408305992783104
solution_idx: 3 | avg: 1193.751834556371 | fitness: 0.0008376950477078227
solution_idx: 4 | avg: 1191.430953969313 | fitness: 0.0008393268587394419
solution_idx: 5 | avg: 1192.4516344229487 | fitness: 0.0008386084358749863
solution_idx: 6 | avg: 1191.3895930620413 | fitness: 0.0008393559972517951
solution_idx: 7 | avg: 1191.4376250833889 | fitness: 0.0008393221591688528
solution_idx: 1 | avg: 1191.3895930620413 | fitness: 0.0008393559972517951
solution_idx: 2 | avg: 1193.589726484323 | fitness: 0.0008378088197403184
solution_idx: 3 | avg: 1193.5023348899267 | fitness: 0.0008378701664561277
solution_idx: 4 | avg: 1191.4336224149433 | fitness: 0.0008393249789048909
solution_idx: 5 | avg: 1190.4843228819213 | fitness: 0.0008399942618137151
solution_idx: 6 | avg: 1191.3895930620413 | fitness: 0.0008393559972517951
solution_idx: 7 | avg: 1191.430953969313 | fitness: 0.0008393268587394419
solution_idx: 1 | avg: 1187.701134089393 | fitness: 0.0008419626548278891
solution_idx: 2 | avg: 1191.4336224149433 | fitness: 0.0008393249789048909
solution_idx: 3 | avg: 1191.3895930620413 | fitness: 0.0008393559972517951
solution_idx: 4 | avg: 1193.5123415610408 | fitness: 0.0008378631415675697
solution_idx: 5 | avg: 1190.4903268845896 | fitness: 0.000839990025468677
solution_idx: 6 | avg: 1192.244829886591 | fitness: 0.000838753899310364
solution_idx: 7 | avg: 1193.390260173449 | fitness: 0.0008379488532566528
solution_idx: 1 | avg: 1191.288859239493 | fitness: 0.0008394269720933932
solution_idx: 2 | avg: 1190.4903268845896 | fitness: 0.000839990025468677
solution_idx: 3 | avg: 1190.6037358238825 | fitness: 0.0008399100136436351
solution_idx: 4 | avg: 1193.3842561707804 | fitness: 0.0008379530690380534
solution_idx: 5 | avg: 1190.2434956637758 | fitness: 0.0008401642215589838
solution_idx: 6 | avg: 1189.2941961307538 | fitness: 0.0008408348441061909
solution_idx: 7 | avg: 1191.4336224149433 | fitness: 0.0008393249789048909
